net,length_um
clknet_2_1__leaf_clk,116.82
clknet_2_0__leaf_clk,88.7
clknet_2_2__leaf_clk,85.62
clknet_2_3__leaf_clk,83.94
clknet_0_clk,75.38
x101.c,74.2
x6.A,67.58
x8.A,63.28
x26.B,62.4
x14.A,62.23
x10.A,61.22
x65.S,59.625
_106_,55.3
_014_,50
x64.S,47.895
x68.S,47.835
x63.S,47.675
x16.A,47.51
x28.B,47.24
clk,46.99
_089_,46.18
x20.A,45.98
net1,45.425
x12.A,44.76
x24.B,43.98
x18.A,43.66
net9,43.585
x69.S,42.025
x6.B,40.82
_073_,39
_083_,38.62
x20.B,38
x22.B,37.84
x77.S,37.685
net46,37.52
_032_,37.42
_096_,36.82
_098_,35.24
x32.B,34.04
_102_,33.08
x26.A,32.32
_003_,32.19
x22.A,31.4
net23,30.485
_079_,30.46
_030_,29.98
_123_,29.86
x76.S,29.46
x24.A,29.43
_041_,29.21
net33,29.16
_056_,29.15
net38,28.96
x16.B,28.46
_094_,28.32
_025_,27.98
x4.B,27.815
_060_,27.4
_076_,27.06
x18.B,26.8
net24,26.605
net54,26.3
_092_,26.26
_057_,26
x73.S,25.08
_049_,24.755
_111_,24.57
_008_,24.18
_101_,24.1
_012_,23.84
x30.A,23.84
b1,23.5
_090_,23.44
_068_,23.06
_064_,22.68
x28.A,22.57
_010_,22.46
x66.S,22.165
_040_,22.16
_108_,21.92
_053_,21.5
x4.A,21.36
_087_,21.33
_022_,21.06
x14.B,21.04
x30.B,20.66
x113.C,20.645
x71.S,20.525
_021_,20.3
x8.B,19.9
_119_,19.84
net52,19.8
_063_,19.64
b2,19.6
_009_,19.42
a1,19.04
_103_,19
_099_,18.88
x72.S,18.845
x2.B,18.56
net22,18.405
_037_,17.56
net43,17.1
_026_,17.06
x12.B,16.94
_084_,16.67
_019_,16.24
_045_,16.24
_029_,16.1
x2.A,16.08
_091_,15.855
_048_,15.52
a16,15.36
_120_,15.22
_116_,15.1
net42,14.84
x67.S,14.66
x10.B,14.51
_097_,14.28
_117_,14.26
_105_,14.14
_018_,14
a11,13.96
_055_,13.72
s10,13.57
_122_,13.48
b16,13.32
x75.S,13.165
_015_,12.9
cout,12.89
x32.A,12.74
net35,12.64
_052_,12.58
net59,12.5
_107_,12.46
b3,12.4
_017_,12.34
_065_,12.34
net8,12.325
_002_,12.16
_031_,11.96
b11,11.92
net53,11.92
a10,11.68
a12,11.68
a13,11.68
a14,11.68
a2,11.68
a3,11.68
a9,11.68
_112_,11.62
_046_,11.58
a15,11.22
a4,11.22
net48,11.12
_038_,10.98
cin,10.91
net17,10.785
_042_,10.78
a5,10.76
a6,10.76
a7,10.76
a8,10.76
s1,10.75
net3,10.625
net31,10.6
_011_,10.38
_071_,10.36
s3,10.05
net6,9.995
net28,9.905
_115_,9.74
net19,9.68
_086_,9.67
b12,9.64
b13,9.64
net13,9.585
s15,9.37
_074_,9.36
net30,9.325
s16,9.31
_023_,9.26
_081_,9.26
net55,9.24
b15,9.18
b4,9.18
_044_,9.06
_006_,8.92
_027_,8.74
b10,8.72
b14,8.72
b5,8.72
b6,8.72
b7,8.72
b8,8.72
b9,8.72
net51,8.62
_051_,8.4
_121_,8.34
net15,8.325
net26,8.3
net29,8.065
x74.S,8.025
s14,8.01
_024_,8
net27,7.985
net41,7.94
net47,7.94
_047_,7.86
net16,7.805
_061_,7.64
_039_,7.56
_118_,7.52
_035_,7.48
_072_,7.46
_085_,7.4
net10,7.345
_104_,7.18
_000_,7.08
_020_,7.06
net58,7.06
s8,7.01
_110_,6.98
_033_,6.96
_113_,6.72
net7,6.685
net18,6.685
s11,6.65
s7,6.65
_007_,6.62
_093_,6.52
_059_,6.3
_125_,6.3
x70.S,6.285
_058_,6.26
net49,6.26
_034_,6.18
_043_,6.04
s6,5.97
_005_,5.84
net36,5.68
net12,5.675
_062_,5.6
s5,5.31
s12,5.29
s2,5.29
s4,5.29
_114_,5.22
net40,5.22
net57,5.12
net61,5.06
net2,5.045
net5,5.045
net20,5.045
s13,4.95
_036_,4.92
_075_,4.68
s9,4.61
_078_,4.46
x78.S,4.425
_016_,4.36
net4,4.265
net56,4.14
_028_,4
_067_,4
_070_,3.88
net34,3.88
net32,3.78
net25,3.605
_054_,3.56
_077_,3.56
_001_,3.54
_066_,3.42
net11,3.225
_124_,3.1
_013_,3.08
net21,3.005
_050_,2.965
_095_,2.96
net14,2.715
_080_,2.62
_088_,2.5
net44,2.5
net45,2.5
_100_,2.28
net50,2.16
net39,2.06
_082_,2.04
net60,2.04
_004_,1.72
_069_,1.72
net37,1.7
_109_,0.92
