net,length_um
clknet_2_1__leaf_clk,102.68
clknet_2_3__leaf_clk,100.37
clknet_2_0__leaf_clk,85.815
clknet_0_clk,77.26
clknet_2_2__leaf_clk,59.72
x32.B,54.8
x14.A,50.1
x76.S,49.06
net33,47.645
x16.A,46.64
x10.A,44.06
x8.A,42.41
x4.B,41.9
x8.B,41.8
clk,41.71
net13,41.205
x18.B,39.83
x30.B,37.6
x64.S,36.9
net42,36.78
x28.B,35.7
x6.B,35.24
x22.A,35
net4,34.185
s1,34.03
x77.S,33.34
net34,32.44
net17,32.205
x20.B,31.54
x26.A,31.18
b1,30.94
x12.B,30.64
_058_,29.76
net6,29.325
x63.S,28.985
net39,28.68
x26.B,28
x6.A,27.4
_036_,26.14
x70.S,26.095
x2.A,26.08
_017_,25.75
net23,25.505
x65.S,25.465
x18.A,23.83
x28.A,23.7
x4.A,23.7
_033_,22.805
x22.B,22.12
x69.S,21.26
_045_,20.94
x74.S,20.485
s2,20.37
x12.A,20.28
net36,19.72
x2.B,19.39
a1,18.24
x75.S,18.165
net22,17.765
_038_,17.6
x10.B,17.4
x68.S,17.345
x73.S,17.33
net20,17.305
_034_,17.16
net37,17.1
_057_,16.88
_056_,16.59
net38,16.32
x30.A,16.2
cout,16.05
_015_,15.98
_007_,15.86
a16,15.56
a13,15.48
net47,15.46
_035_,15.44
net50,15.4
b6,15.16
_019_,15.12
_014_,14.62
_047_,14.6
b4,14.24
x32.A,14.04
net2,13.805
x14.B,13.68
net41,13.58
net45,13.42
net43,13.32
_011_,13.26
net9,13.255
_043_,12.96
b16,12.86
a14,12.72
x24.B,12.54
_053_,12.32
_054_,12.32
_022_,12.3
x16.B,11.96
x20.A,11.94
net21,11.865
net8,11.525
b3,11.48
s16,11.43
a10,11.34
a11,11.34
a3,11.34
a4,11.34
a6,11.34
a7,11.34
a9,11.34
x67.S,11.285
_028_,11.16
_023_,11.08
_041_,11.08
_052_,10.96
net30,10.885
a15,10.88
_037_,10.72
b11,10.56
_013_,10.46
_005_,10.44
a12,10.42
a2,10.42
a5,10.42
a8,10.42
_040_,10.4
net25,10.285
net16,10.065
x24.A,10.04
net51,9.98
x47.c,9.9
net7,9.865
_009_,9.72
b10,9.64
b12,9.64
b13,9.64
b14,9.64
b9,9.64
s7,9.39
_050_,9.25
net24,9.185
b15,9.18
_042_,9.14
_021_,9
s15,8.95
cin,8.91
_008_,8.9
_012_,8.9
_027_,8.8
b2,8.72
b5,8.72
b7,8.72
b8,8.72
_020_,8.7
x78.S,8.545
_029_,8.415
net27,8.38
_026_,8.32
_024_,8.24
_059_,8.24
_061_,8.24
_051_,7.98
_030_,7.92
_049_,7.9
_006_,7.66
net31,7.525
_002_,7.44
x66.S,7.325
x72.S,7.205
_055_,7.16
net35,7.06
net48,7.06
x62.C,7.025
s9,7.01
_060_,6.98
net18,6.885
_046_,6.84
net26,6.685
s11,6.67
s3,6.67
x71.S,6.625
_044_,6.26
net10,5.775
s13,5.29
s5,5.29
net12,5.265
_003_,5.26
net14,5.135
net19,5.045
s14,4.95
s8,4.95
_010_,4.9
net3,4.795
_018_,4.735
s10,4.61
s12,4.61
s4,4.61
_048_,4.42
net46,4.36
net1,4.045
s6,3.93
net44,3.54
net5,3.505
net32,3.465
_031_,3.3
net11,3.245
net40,3.08
net49,2.96
_004_,2.64
_062_,2.64
_039_,2.62
net29,2.545
_001_,2.3
_000_,2.16
_025_,2.16
net28,2.025
_016_,1.94
net15,1.865
_032_,0.92
