net,length_um
clknet_2_0__leaf_clk,111.54
clknet_2_1__leaf_clk,91.24
clknet_2_2__leaf_clk,87.48
clknet_0_clk,75.67
net38,72.66
clknet_2_3__leaf_clk,69.84
net33,61.08
x19.b,52.52
clk,51.57
x16.sum,48.645
x18.sum,48.505
net48,45.3
x17.sum,41.04
net49,39.98
x1.b,39.7
x16.b,39.3
x14.b,38.84
x24.A,38.72
x23.A,36.84
x27.A,36.52
x17.b,36.26
x14.a,35.76
x18.b,35.48
x25.B,34.96
x13.b,34.22
x28.A,34.04
net34,32.4
x11.b,31.12
x12.b,30.66
x26.A,29.91
x24.B,29.69
x23.B,28.4
x25.A,28.02
_007_,26.98
x11.a,26.1
x2.a,26.065
x1.a,25.8
net5,25.105
net37,24.42
x19.sum,24.385
a3,24.24
x13.a,23
net47,22.76
_004_,22.74
_023_,22.48
net3,22.165
x2.b,21.9
x28.B,21.78
net50,21.24
b1,20.9
net25,20.705
x26.B,20.4
s1,19.45
_001_,19.42
net23,18.865
_053_,18.5
a2,18.34
x12.a,18.26
a1,18.18
s16,17.93
a5,17.88
net8,17.725
x11.sum,17.265
x19.a,17.02
net36,16.78
net46,16.76
_018_,16.08
_013_,15.88
x13.sum,15.705
cout,15.51
_006_,15.14
net2,15.125
net45,14.58
net22,14.345
_031_,14.16
a7,13.74
_052_,13.52
b3,13.32
a11,13.28
x27.B,12.62
_002_,12.46
a10,12.36
a12,12.36
a13,12.36
a14,12.36
a15,12.36
a16,12.36
a6,12.36
a8,12.36
a9,12.36
net13,12.355
net12,12.285
net52,12.16
net9,12.125
_049_,11.98
x17.a,11.96
b9,11.94
s2,11.65
x8.sum,11.625
_045_,11.62
_034_,11.58
b10,11.48
b6,11.48
a4,11.44
_021_,11.36
net6,11.065
b7,11.02
_056_,10.82
b11,10.56
b2,10.56
b5,10.56
_044_,10.36
x12.sum,10.22
x3.sum,10.185
_058_,10.16
_019_,10.08
_028_,9.84
_010_,9.78
_035_,9.7
b14,9.64
b15,9.64
b16,9.64
net44,9.44
net16,9.185
b8,9.18
_037_,9.1
_046_,9.08
_003_,9.06
net40,8.9
_017_,8.78
_022_,8.75
b12,8.72
b13,8.72
b4,8.72
_039_,8.52
_009_,8.4
_050_,8.37
net24,8.3
_043_,7.86
x18.a,7.76
x1.sum,7.695
_030_,7.64
_036_,7.6
_032_,7.56
x1.cin,7.56
net15,7.525
x9.sum,7.485
_055_,7.32
_015_,7.22
net53,7.1
_040_,6.72
s4,6.67
x4.sum,6.615
_020_,6.52
net18,6.425
x7.sum,6.365
_014_,6.33
net4,6.305
_054_,6.3
x20.out,6.185
_038_,6.14
_033_,5.8
_042_,5.8
net35,5.8
net29,5.765
_059_,5.6
net54,5.6
_047_,5.48
_025_,5.44
cin,5.41
net43,5.34
net20,5.305
s10,5.29
s12,5.29
s14,5.29
net39,5.22
net19,5.045
net30,5.045
s11,4.95
s13,4.95
s15,4.95
s7,4.95
net21,4.7
s3,4.61
s5,4.61
s8,4.61
_005_,4.44
_041_,4.44
_011_,4.42
s9,4.27
net32,4.24
x14.sum,4.065
net41,4
net14,3.975
s6,3.93
_024_,3.9
_027_,3.76
_000_,3.54
_051_,3.54
net26,3.465
_016_,3.42
x6.sum,3.415
net31,3.405
net7,3.225
_048_,3.08
net10,3.045
_029_,2.96
_057_,2.96
x16.a,2.84
x2.sum,2.785
_026_,2.64
_012_,2.62
net42,2.52
net11,2.485
net17,2.255
net1,2.085
net27,2.085
net51,2.04
net28,2.025
_008_,1.38
