net,length_um
clknet_2_1__leaf_clk,103.19
clknet_2_0__leaf_clk,84.12
clknet_2_3__leaf_clk,83.84
clknet_2_2__leaf_clk,81.68
x19.b,71.48
net39,66.6
clknet_0_clk,65.84
net33,63.06
x18.b,57.24
x27.A,56.2
x17.b,54.22
x1.b,52.48
clk,51.77
x17.sum,45.565
net49,45.56
x14.b,43.88
_007_,42.66
x12.b,42.3
net48,41.94
x28.A,40.9
x26.A,40.12
x11.a,38.58
x13.b,37.6
x2.a,35.92
x23.A,34.9
x25.A,32
x2.b,31.36
x14.a,30.9
x20.out,30.245
x19.sum,29.62
x24.B,29.3
x18.sum,29.125
x24.A,28.76
net50,28.34
_037_,27.12
net5,26.845
x13.a,25.14
net38,24.94
x11.b,24.88
net36,24.6
_058_,23.52
a1,23.44
x23.B,23.1
net47,22.74
net8,22.165
x14.sum,20.82
x25.B,20.7
x27.B,20.44
_043_,20.36
net37,19.98
net21,18.865
x26.B,18.6
net2,18.125
cout,17.93
net41,17.66
b1,16.76
a2,16.54
a16,16.16
_052_,16.1
net43,16.1
_049_,15.6
x28.B,15.6
net46,15.4
_053_,15.14
a3,15
x12.a,14.82
net26,14.805
x4.sum,14.685
_057_,14.5
_032_,14.41
x16.b,14.34
_004_,13.94
x13.sum,13.865
b16,13.78
net11,13.42
_019_,13.4
_050_,13.21
s3,13.11
_022_,13.06
a7,12.94
_002_,12.92
_035_,12.8
_003_,12.74
x17.a,12.1
a10,12.02
a12,12.02
a5,12.02
a6,12.02
a9,12.02
b4,11.92
net45,11.72
_010_,11.7
s16,11.43
_046_,11.4
_008_,11.36
_034_,11.26
_056_,11.21
_042_,11.12
a11,11.1
a13,11.1
a14,11.1
a15,11.1
a4,11.1
a8,11.1
_017_,11.08
net1,11.045
_040_,10.88
x3.sum,10.765
b7,10.56
net3,10.415
x18.a,9.94
x11.sum,9.925
_029_,9.82
_033_,9.78
x12.sum,9.78
_014_,9.74
_025_,9.7
b10,9.64
b11,9.64
b12,9.64
b3,9.64
b5,9.64
b6,9.64
b9,9.64
_038_,9.62
s1,9.43
net24,9.22
_009_,9.2
b2,9.18
_059_,9.16
_012_,8.98
_024_,8.96
net31,8.905
_031_,8.86
_027_,8.72
b13,8.72
b14,8.72
b15,8.72
b8,8.72
_000_,8.6
net7,8.42
_001_,8.36
net25,8.325
_048_,8.02
net27,7.985
x19.a,7.98
x9.sum,7.945
net13,7.935
_015_,7.9
_018_,7.9
x1.a,7.86
x1.cin,7.8
cin,7.79
x16.a,7.64
_044_,7.44
net15,7.305
net52,7.06
net6,6.985
net29,6.885
_055_,6.78
s11,6.67
net16,6.645
_005_,6.6
_021_,6.52
net22,6.425
x1.sum,6.365
x8.sum,6.365
net34,6.26
net14,6.235
x2.sum,6.185
_023_,6.16
net32,5.965
_047_,5.86
_006_,5.74
_020_,5.72
net35,5.68
net4,5.605
_036_,5.38
net18,5.305
s15,5.29
s7,5.29
s9,5.29
_045_,5.26
_041_,5.16
net30,5.045
s10,4.95
s14,4.95
s4,4.95
s6,4.95
s8,4.95
_030_,4.8
x6.sum,4.795
s12,4.61
s13,4.61
s2,4.61
s5,4.61
net19,4.585
net23,4.525
net51,4.46
_016_,4.22
net9,4.125
net20,4.125
net53,3.88
_028_,3.66
_039_,3.56
net17,3.005
net42,2.98
_011_,2.96
_054_,2.96
x7.sum,2.685
_051_,2.62
net44,2.62
net40,2.5
net12,2.325
_013_,2.16
x16.sum,2.125
net28,2.085
net10,2.06
_026_,1.26
